Clau,Accidents,Mat,Tar,Nit,Mat_P,Tar_p,Nit_p
0320163,1,1.0,0.0,0.0,1.0,0.0,0.0
0320193,1,0.0,1.0,0.0,0.0,1.0,0.0
0420173,1,0.0,1.0,0.0,0.0,1.0,0.0
0420182,1,0.0,1.0,0.0,0.0,1.0,0.0
0420183,1,1.0,0.0,0.0,1.0,0.0,0.0
0420203,2,2.0,0.0,0.0,1.0,0.0,0.0
0420223,1,0.0,1.0,0.0,0.0,1.0,0.0
0520181,1,0.0,1.0,0.0,0.0,1.0,0.0
0520224,2,2.0,0.0,0.0,1.0,0.0,0.0
0620172,1,0.0,1.0,0.0,0.0,1.0,0.0
0620174,1,0.0,1.0,0.0,0.0,1.0,0.0
0620201,2,0.0,1.0,1.0,0.0,0.5,0.5
0620221,2,0.0,0.0,2.0,0.0,0.0,1.0
0620223,1,0.0,1.0,0.0,0.0,1.0,0.0
0720181,1,1.0,0.0,0.0,1.0,0.0,0.0
0920172,1,1.0,0.0,0.0,1.0,0.0,0.0
0920174,2,1.0,1.0,0.0,0.5,0.5,0.0
0920183,1,1.0,0.0,0.0,1.0,0.0,0.0
0920184,1,1.0,0.0,0.0,1.0,0.0,0.0
0920191,2,1.0,1.0,0.0,0.5,0.5,0.0
0920192,3,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.0
0920193,1,1.0,0.0,0.0,1.0,0.0,0.0
0920224,1,1.0,0.0,0.0,1.0,0.0,0.0
1020161,71,29.0,34.0,8.0,0.4084507042253521,0.4788732394366197,0.11267605633802817
1020162,78,32.0,39.0,7.0,0.41025641025641024,0.5,0.08974358974358974
1020163,54,21.0,27.0,6.0,0.3888888888888889,0.5,0.1111111111111111
1020164,66,28.0,31.0,7.0,0.42424242424242425,0.4696969696969697,0.10606060606060606
1020171,52,25.0,23.0,4.0,0.4807692307692308,0.4423076923076923,0.07692307692307693
1020172,90,37.0,44.0,9.0,0.4111111111111111,0.4888888888888889,0.1
1020173,57,21.0,25.0,11.0,0.3684210526315789,0.43859649122807015,0.19298245614035087
1020174,65,23.0,34.0,8.0,0.35384615384615387,0.5230769230769231,0.12307692307692308
1020181,41,10.0,24.0,7.0,0.24390243902439024,0.5853658536585366,0.17073170731707318
1020182,62,21.0,34.0,7.0,0.3387096774193548,0.5483870967741935,0.11290322580645161
1020183,59,16.0,33.0,10.0,0.2711864406779661,0.559322033898305,0.1694915254237288
1020184,65,24.0,32.0,9.0,0.36923076923076925,0.49230769230769234,0.13846153846153847
1020191,59,22.0,25.0,12.0,0.3728813559322034,0.423728813559322,0.2033898305084746
1020192,62,18.0,35.0,9.0,0.2903225806451613,0.5645161290322581,0.14516129032258066
1020193,50,13.0,27.0,10.0,0.26,0.54,0.2
1020194,59,26.0,26.0,7.0,0.4406779661016949,0.4406779661016949,0.11864406779661017
1020201,41,15.0,21.0,5.0,0.36585365853658536,0.5121951219512195,0.12195121951219512
1020202,24,10.0,12.0,2.0,0.4166666666666667,0.5,0.08333333333333333
1020203,45,15.0,23.0,7.0,0.3333333333333333,0.5111111111111111,0.15555555555555556
1020204,52,10.0,36.0,6.0,0.19230769230769232,0.6923076923076923,0.11538461538461539
1020211,45,17.0,27.0,1.0,0.37777777777777777,0.6,0.022222222222222223
1020212,49,11.0,32.0,6.0,0.22448979591836735,0.6530612244897959,0.12244897959183673
1020213,62,23.0,31.0,8.0,0.3709677419354839,0.5,0.12903225806451613
1020214,62,26.0,32.0,4.0,0.41935483870967744,0.5161290322580645,0.06451612903225806
1020221,65,28.0,32.0,5.0,0.4307692307692308,0.49230769230769234,0.07692307692307693
1020222,54,18.0,28.0,8.0,0.3333333333333333,0.5185185185185185,0.14814814814814814
1020223,64,23.0,28.0,13.0,0.359375,0.4375,0.203125
1020224,46,16.0,28.0,2.0,0.34782608695652173,0.6086956521739131,0.043478260869565216
1120161,102,44.0,47.0,11.0,0.43137254901960786,0.46078431372549017,0.10784313725490197
1120162,85,27.0,49.0,9.0,0.3176470588235294,0.5764705882352941,0.10588235294117647
1120163,74,23.0,37.0,14.0,0.3108108108108108,0.5,0.1891891891891892
1120164,100,36.0,55.0,9.0,0.36,0.55,0.09
1120171,85,38.0,38.0,9.0,0.4470588235294118,0.4470588235294118,0.10588235294117647
1120172,67,31.0,28.0,8.0,0.4626865671641791,0.417910447761194,0.11940298507462686
1120173,68,29.0,27.0,12.0,0.4264705882352941,0.39705882352941174,0.17647058823529413
1120174,65,21.0,34.0,10.0,0.3230769230769231,0.5230769230769231,0.15384615384615385
1120181,66,24.0,33.0,9.0,0.36363636363636365,0.5,0.13636363636363635
1120182,67,35.0,25.0,7.0,0.5223880597014925,0.373134328358209,0.1044776119402985
1120183,52,21.0,18.0,13.0,0.40384615384615385,0.34615384615384615,0.25
1120184,60,23.0,27.0,10.0,0.38333333333333336,0.45,0.16666666666666666
1120191,61,28.0,27.0,6.0,0.45901639344262296,0.4426229508196721,0.09836065573770492
1120192,81,43.0,27.0,11.0,0.5308641975308642,0.3333333333333333,0.13580246913580246
1120193,62,16.0,31.0,15.0,0.25806451612903225,0.5,0.24193548387096775
1120194,63,22.0,30.0,11.0,0.3492063492063492,0.47619047619047616,0.1746031746031746
1120201,55,17.0,32.0,6.0,0.3090909090909091,0.5818181818181818,0.10909090909090909
1120202,20,10.0,6.0,4.0,0.5,0.3,0.2
1120203,43,13.0,20.0,10.0,0.3023255813953488,0.46511627906976744,0.23255813953488372
