Nom_Barri,Any,Trimestre,Eur,m2,Accidents
el Raval,2016,1,624.42,53.59828326180257,61
el Barri Gòtic,2016,1,893.42,66.32665181885672,32
la Barceloneta,2016,1,638.75,36.921965317919074,34
"Sant Pere, Santa Caterina i la Ribera",2016,1,759.16,58.6676970633694,49
el Fort Pienc,2016,1,800.08,71.49955317247543,53
la Sagrada Família,2016,1,752.37,62.333885666942834,177
la Dreta de l'Eixample,2016,1,1104.26,89.55879967558799,184
l'Antiga Esquerra de l'Eixample,2016,1,947.3,79.53820319059614,153
la Nova Esquerra de l'Eixample,2016,1,811.62,70.51433536055605,79
Sant Antoni,2016,1,805.89,69.23453608247422,71
el Poble Sec,2016,1,622.24,53.54905335628228,102
la Marina de Port,2016,1,447.57,61.81906077348066,24
la Font de la Guatlla,2016,1,638.73,56.87711487088157,24
Hostafrancs,2016,1,662.28,56.31632653061224,20
la Bordeta,2016,1,645.15,61.09374999999999,16
Sants - Badal,2016,1,629.69,56.8825654923216,9
Sants,2016,1,664.66,60.15022624434389,75
les Corts,2016,1,892.7,70.68091844813935,83
la Maternitat i Sant Ramon,2016,1,777.86,63.18927701056052,40
Pedralbes,2016,1,1572.56,104.41965471447544,60
"Vallvidrera, el Tibidabo i les Planes",2016,1,933.95,83.09163701067617,13
Sarrià,2016,1,1195.68,76.69531751122516,57
les Tres Torres,2016,1,1380.68,90.71484888304862,25
Sant Gervasi - la Bonanova,2016,1,1116.51,79.52350427350427,68
Sant Gervasi - Galvany,2016,1,1187.57,89.09002250562641,47
el Putxet i el Farró,2016,1,827.82,63.192366412213744,21
Vallcarca i els Penitents,2016,1,741.42,60.87192118226601,32
el Coll,2016,1,590.53,55.29307116104869,22
la Salut,2016,1,684.47,62.96872125114996,4
la Vila de Gràcia,2016,1,764.02,60.1117230527144,66
el Camp d'en Grassot i Gràcia Nova,2016,1,802.69,67.73755274261605,8
el Baix Guinardó,2016,1,696.69,61.87300177619894,17
Can Baró,2016,1,595.92,51.77410947002606,5
el Guinardó,2016,1,646.76,59.66420664206642,37
la Font d'en Fargues,2016,1,749.81,49.329605263157895,25
el Carmel,2016,1,518.24,56.086580086580085,22
la Teixonera,2016,1,513.53,56.93237250554324,15
Sant Genís dels Agudells,2016,1,616.36,73.2019002375297,8
Montbau,2016,1,614.79,66.75244299674266,14
la Vall d'Hebron,2016,1,692.35,62.76971894832276,21
Horta,2016,1,601.35,61.112804878048784,19
Vilapicina i la Torre Llobeta,2016,1,618.55,60.17023346303502,26
Porta,2016,1,536.66,58.58733624454148,10
el Turó de la Peira,2016,1,537.93,60.37373737373737,9
la Guineueta,2016,1,589.2,68.91228070175438,7
les Roquetes,2016,1,455.65,54.30870083432657,16
Verdun,2016,1,539.59,53.959,5
la Prosperitat,2016,1,518.02,56.80043859649123,18
la Trinitat Nova,2016,1,423.18,48.80968858131488,16
Ciutat Meridiana,2016,1,344.26,55.25842696629213,3
la Trinitat Vella,2016,1,422.37,56.92318059299191,22
el Bon Pastor,2016,1,472.39,57.74938875305624,31
Sant Andreu,2016,1,624.75,60.65533980582524,60
la Sagrera,2016,1,658.12,61.05009276437848,25
el Congrés i els Indians,2016,1,613.71,63.59689119170984,4
Navas,2016,1,665.34,64.72178988326849,4
el Camp de l'Arpa del Clot,2016,1,659.58,59.31474820143886,34
el Clot,2016,1,645.42,63.338567222767416,35
el Parc i la Llacuna del Poblenou,2016,1,799.63,65.86738056013179,73
la Vila Olímpica del Poblenou,2016,1,1136.0,71.98986058301648,11
el Poblenou,2016,1,719.12,60.27829002514669,57
Diagonal Mar i el Front Marítim del Poblenou,2016,1,1004.51,85.12796610169491,20
el Besòs i el Maresme,2016,1,506.7,59.89361702127659,25
Provençals del Poblenou,2016,1,758.81,71.85700757575756,11
