"Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Rang_soroll","TOTAL_D","TOTAL_E","TOTAL_N","TOTAL_DEN","TRANSIT_D","TRANSIT_E","TRANSIT_N","TRANSIT_DEN","GI_TR_D","GI_TR_E","GI_TR_N","GI_TR_DEN","FFCC_D","FFCC_E","FFCC_N","FFCC_DEN","INDUST_D","INDUST_E","INDUST_N","INDUST_DEN","VIANANTS_D","VIANANTS_E","OCI_N","PATIS_D","PATIS_E","PARCS_D"
"1","Ciutat Vella","1","el Raval","<40 dB","7.73%","21.45%","42.75%","0.27%","11.30%","25.92%","46.18%","2.74%","87.87%","90.52%","95.32%","83.92%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","57.69%","59.13%","75.89%","95.90%","98.00%","100.00%"
"1","Ciutat Vella","1","el Raval","40-45 dB","26.98%","19.18%","6.63%","28.36%","31.11%","20.05%","6.58%","34.91%","6.57%","4.84%","1.34%","8.61%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","13.35%","16.80%","4.97%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","1","el Raval","45-50 dB","7.38%","5.68%","10.88%","11.97%","6.78%","6.37%","14.40%","9.79%","1.68%","1.28%","0.68%","3.33%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","10.90%","9.04%","2.53%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","1","el Raval","50-55 dB","11.97%","13.28%","14.29%","7.95%","10.75%","14.22%","17.08%","9.32%","1.04%","0.71%","0.60%","1.05%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","10.81%","8.03%","1.80%","1.65%","0.00%","0.00%"
"1","Ciutat Vella","1","el Raval","55-60 dB","19.85%","19.74%","10.52%","15.40%","18.61%","17.17%","9.28%","15.96%","0.67%","0.58%","0.45%","0.71%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","6.47%","6.02%","5.79%","1.56%","1.11%","0.00%"
"1","Ciutat Vella","1","el Raval","60-65 dB","16.87%","13.64%","13.28%","15.75%","12.41%","9.39%","6.15%","15.22%","0.38%","0.45%","1.61%","0.49%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.78%","0.98%","8.88%","0.89%","0.89%","0.00%"
"1","Ciutat Vella","1","el Raval","65-70 dB","7.06%","6.67%","1.65%","14.35%","6.88%","6.52%","0.33%","7.56%","0.54%","1.62%","0.00%","0.44%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.14%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","1","el Raval","70-75 dB","2.16%","0.36%","0.00%","5.85%","2.16%","0.36%","0.00%","4.40%","1.25%","0.00%","0.00%","1.45%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","1","el Raval","75-80 dB","0.00%","0.00%","0.00%","0.10%","0.00%","0.00%","0.00%","0.10%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","1","el Raval",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","2","el Barri Gòtic","<40 dB","4.27%","8.45%","46.24%","1.66%","17.89%","27.49%","55.24%","9.78%","47.40%","63.55%","91.56%","36.67%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","33.40%","35.19%","74.35%","95.07%","97.07%","100.00%"
"1","Ciutat Vella","2","el Barri Gòtic","40-45 dB","16.87%","18.51%","9.19%","11.83%","31.87%","27.47%","7.88%","32.04%","38.84%","27.79%","3.68%","42.33%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","12.21%","15.25%","6.07%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","2","el Barri Gòtic","45-50 dB","16.59%","14.13%","8.87%","19.94%","10.95%","7.96%","9.57%","16.21%","8.35%","3.84%","1.28%","14.68%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","18.49%","15.71%","2.73%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","2","el Barri Gòtic","50-55 dB","12.70%","16.87%","13.51%","12.11%","6.49%","9.43%","15.65%","6.95%","1.60%","1.33%","0.92%","2.04%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","14.70%","15.12%","1.63%","1.39%","0.00%","0.00%"
"1","Ciutat Vella","2","el Barri Gòtic","55-60 dB","25.01%","22.67%","7.20%","21.15%","15.60%","15.54%","7.88%","13.49%","1.02%","0.91%","0.62%","1.14%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","19.19%","17.00%","5.24%","2.11%","1.50%","0.00%"
"1","Ciutat Vella","2","el Barri Gòtic","60-65 dB","19.33%","15.46%","10.24%","14.62%","12.37%","8.22%","2.22%","13.66%","0.60%","0.59%","0.88%","0.77%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","2.01%","1.73%","7.54%","1.43%","1.43%","0.00%"
"1","Ciutat Vella","2","el Barri Gòtic","65-70 dB","2.30%","2.07%","4.75%","12.75%","1.91%","2.15%","1.56%","4.74%","0.43%","0.81%","1.06%","0.49%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","2.44%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","2","el Barri Gòtic","70-75 dB","2.90%","1.84%","0.00%","5.50%","2.89%","1.74%","0.00%","2.78%","1.76%","1.18%","0.00%","1.66%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","2","el Barri Gòtic","75-80 dB","0.03%","0.00%","0.00%","0.44%","0.03%","0.00%","0.00%","0.35%","0.00%","0.00%","0.00%","0.22%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","2","el Barri Gòtic",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","3","la Barceloneta","<40 dB","1.23%","5.92%","19.94%","0.50%","1.79%","7.35%","20.57%","0.67%","58.52%","66.09%","82.69%","53.20%","96.51%","96.09%","99.23%","95.04%","100.00%","100.00%","100.00%","100.00%","83.52%","84.24%","90.54%","98.89%","98.89%","100.00%"
"1","Ciutat Vella","3","la Barceloneta","40-45 dB","9.87%","9.20%","22.10%","8.21%","14.06%","12.91%","22.50%","11.40%","20.43%","16.93%","9.34%","20.21%","2.67%","2.97%","0.77%","2.69%","0.00%","0.00%","0.00%","0.00%","8.33%","8.49%","2.84%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","3","la Barceloneta","45-50 dB","17.32%","20.60%","28.72%","13.05%","18.09%","21.80%","29.00%","14.69%","10.47%","9.33%","4.39%","12.42%","0.82%","0.91%","0.00%","2.16%","0.00%","0.00%","0.00%","0.00%","2.87%","3.44%","2.77%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","3","la Barceloneta","50-55 dB","32.48%","33.72%","18.81%","27.56%","29.33%","29.04%","18.27%","25.36%","6.42%","4.18%","1.61%","8.49%","0.00%","0.03%","0.00%","0.11%","0.00%","0.00%","0.00%","0.00%","4.81%","3.69%","1.03%","0.00%","0.00%","0.00%"
