Rang_soroll,Concepte,Valor
<40 dB,TOTAL_D,2.60%
40-45 dB,TOTAL_D,14.49%
45-50 dB,TOTAL_D,16.38%
50-55 dB,TOTAL_D,10.53%
55-60 dB,TOTAL_D,17.06%
60-65 dB,TOTAL_D,16.15%
65-70 dB,TOTAL_D,14.60%
70-75 dB,TOTAL_D,7.94%
75-80 dB,TOTAL_D,0.25%
>=80 dB,TOTAL_D,0.00%
<40 dB,TOTAL_E,6.77%
40-45 dB,TOTAL_E,19.67%
45-50 dB,TOTAL_E,12.91%
50-55 dB,TOTAL_E,10.65%
55-60 dB,TOTAL_E,16.35%
60-65 dB,TOTAL_E,15.47%
65-70 dB,TOTAL_E,14.31%
70-75 dB,TOTAL_E,3.87%
75-80 dB,TOTAL_E,0.00%
>=80 dB,TOTAL_E,0.00%
<40 dB,TOTAL_N,29.63%
40-45 dB,TOTAL_N,13.06%
45-50 dB,TOTAL_N,10.55%
50-55 dB,TOTAL_N,14.25%
55-60 dB,TOTAL_N,13.98%
60-65 dB,TOTAL_N,14.68%
65-70 dB,TOTAL_N,3.85%
70-75 dB,TOTAL_N,0.00%
75-80 dB,TOTAL_N,0.00%
>=80 dB,TOTAL_N,0.00%
<40 dB,TOTAL_DEN,0.85%
40-45 dB,TOTAL_DEN,10.42%
45-50 dB,TOTAL_DEN,18.89%
50-55 dB,TOTAL_DEN,11.59%
55-60 dB,TOTAL_DEN,14.38%
60-65 dB,TOTAL_DEN,16.21%
65-70 dB,TOTAL_DEN,14.58%
70-75 dB,TOTAL_DEN,11.77%
75-80 dB,TOTAL_DEN,1.31%
>=80 dB,TOTAL_DEN,0.00%
<40 dB,TRANSIT_D,3.42%
40-45 dB,TRANSIT_D,17.58%
45-50 dB,TRANSIT_D,19.22%
50-55 dB,TRANSIT_D,9.22%
55-60 dB,TRANSIT_D,13.72%
60-65 dB,TRANSIT_D,14.14%
65-70 dB,TRANSIT_D,14.53%
70-75 dB,TRANSIT_D,7.92%
75-80 dB,TRANSIT_D,0.25%
>=80 dB,TRANSIT_D,0.00%
<40 dB,TRANSIT_E,7.97%
40-45 dB,TRANSIT_E,21.45%
45-50 dB,TRANSIT_E,13.68%
50-55 dB,TRANSIT_E,10.65%
55-60 dB,TRANSIT_E,14.48%
60-65 dB,TRANSIT_E,13.67%
65-70 dB,TRANSIT_E,14.24%
70-75 dB,TRANSIT_E,3.86%
75-80 dB,TRANSIT_E,0.00%
>=80 dB,TRANSIT_E,0.00%
<40 dB,TRANSIT_N,30.33%
40-45 dB,TRANSIT_N,12.96%
45-50 dB,TRANSIT_N,10.86%
50-55 dB,TRANSIT_N,14.58%
55-60 dB,TRANSIT_N,13.70%
60-65 dB,TRANSIT_N,14.13%
65-70 dB,TRANSIT_N,3.44%
70-75 dB,TRANSIT_N,0.00%
75-80 dB,TRANSIT_N,0.00%
>=80 dB,TRANSIT_N,0.00%
<40 dB,TRANSIT_DEN,1.26%
40-45 dB,TRANSIT_DEN,12.83%
45-50 dB,TRANSIT_DEN,22.23%
50-55 dB,TRANSIT_DEN,9.72%
55-60 dB,TRANSIT_DEN,12.44%
60-65 dB,TRANSIT_DEN,14.80%
65-70 dB,TRANSIT_DEN,13.81%
70-75 dB,TRANSIT_DEN,11.62%
75-80 dB,TRANSIT_DEN,1.29%
>=80 dB,TRANSIT_DEN,0.00%
<40 dB,GI_TR_D,54.37%
40-45 dB,GI_TR_D,17.79%
45-50 dB,GI_TR_D,10.97%
50-55 dB,GI_TR_D,4.23%
55-60 dB,GI_TR_D,3.47%
60-65 dB,GI_TR_D,3.15%
65-70 dB,GI_TR_D,2.52%
70-75 dB,GI_TR_D,3.32%
75-80 dB,GI_TR_D,0.18%
>=80 dB,GI_TR_D,0.00%
<40 dB,GI_TR_E,60.98%
40-45 dB,GI_TR_E,15.89%
45-50 dB,GI_TR_E,7.63%
50-55 dB,GI_TR_E,4.08%
55-60 dB,GI_TR_E,3.27%
60-65 dB,GI_TR_E,2.86%
65-70 dB,GI_TR_E,3.06%
70-75 dB,GI_TR_E,2.23%
75-80 dB,GI_TR_E,0.00%
>=80 dB,GI_TR_E,0.00%
<40 dB,GI_TR_N,77.05%
40-45 dB,GI_TR_N,7.36%
45-50 dB,GI_TR_N,4.17%
50-55 dB,GI_TR_N,3.32%
55-60 dB,GI_TR_N,2.89%
60-65 dB,GI_TR_N,3.19%
65-70 dB,GI_TR_N,2.02%
70-75 dB,GI_TR_N,0.00%
75-80 dB,GI_TR_N,0.00%
>=80 dB,GI_TR_N,0.00%
<40 dB,GI_TR_DEN,47.66%
40-45 dB,GI_TR_DEN,19.47%
45-50 dB,GI_TR_DEN,13.45%
50-55 dB,GI_TR_DEN,5.35%
55-60 dB,GI_TR_DEN,3.80%
60-65 dB,GI_TR_DEN,3.31%
65-70 dB,GI_TR_DEN,2.62%
70-75 dB,GI_TR_DEN,3.41%
75-80 dB,GI_TR_DEN,0.93%
>=80 dB,GI_TR_DEN,0.00%
<40 dB,FFCC_D,97.62%
40-45 dB,FFCC_D,0.85%
45-50 dB,FFCC_D,0.65%
50-55 dB,FFCC_D,0.63%
55-60 dB,FFCC_D,0.18%
60-65 dB,FFCC_D,0.05%
65-70 dB,FFCC_D,0.02%
70-75 dB,FFCC_D,0.00%
75-80 dB,FFCC_D,0.00%
>=80 dB,FFCC_D,0.00%
<40 dB,FFCC_E,97.69%
40-45 dB,FFCC_E,0.80%
45-50 dB,FFCC_E,0.64%
50-55 dB,FFCC_E,0.56%
55-60 dB,FFCC_E,0.24%
60-65 dB,FFCC_E,0.06%
65-70 dB,FFCC_E,0.01%
70-75 dB,FFCC_E,0.00%
75-80 dB,FFCC_E,0.00%
>=80 dB,FFCC_E,0.00%
<40 dB,FFCC_N,98.72%
40-45 dB,FFCC_N,0.59%
45-50 dB,FFCC_N,0.52%
50-55 dB,FFCC_N,0.14%
55-60 dB,FFCC_N,0.03%
60-65 dB,FFCC_N,0.00%
65-70 dB,FFCC_N,0.00%
70-75 dB,FFCC_N,0.00%
75-80 dB,FFCC_N,0.00%
>=80 dB,FFCC_N,0.00%
<40 dB,FFCC_DEN,97.22%
40-45 dB,FFCC_DEN,0.95%
45-50 dB,FFCC_DEN,0.73%
50-55 dB,FFCC_DEN,0.56%
55-60 dB,FFCC_DEN,0.42%
60-65 dB,FFCC_DEN,0.10%
65-70 dB,FFCC_DEN,0.02%
70-75 dB,FFCC_DEN,0.00%
75-80 dB,FFCC_DEN,0.00%
>=80 dB,FFCC_DEN,0.00%
<40 dB,INDUST_D,99.63%
40-45 dB,INDUST_D,0.27%
45-50 dB,INDUST_D,0.06%
50-55 dB,INDUST_D,0.03%
55-60 dB,INDUST_D,0.01%
60-65 dB,INDUST_D,0.00%
65-70 dB,INDUST_D,0.00%
70-75 dB,INDUST_D,0.00%
75-80 dB,INDUST_D,0.00%
>=80 dB,INDUST_D,0.00%
<40 dB,INDUST_E,99.97%
40-45 dB,INDUST_E,0.03%
45-50 dB,INDUST_E,0.00%
50-55 dB,INDUST_E,0.00%
55-60 dB,INDUST_E,0.00%
60-65 dB,INDUST_E,0.00%
65-70 dB,INDUST_E,0.00%
70-75 dB,INDUST_E,0.00%
75-80 dB,INDUST_E,0.00%
>=80 dB,INDUST_E,0.00%
<40 dB,INDUST_N,99.97%
40-45 dB,INDUST_N,0.03%
45-50 dB,INDUST_N,0.00%
50-55 dB,INDUST_N,0.00%
55-60 dB,INDUST_N,0.00%
60-65 dB,INDUST_N,0.00%
65-70 dB,INDUST_N,0.00%
70-75 dB,INDUST_N,0.00%
75-80 dB,INDUST_N,0.00%
>=80 dB,INDUST_N,0.00%
<40 dB,INDUST_DEN,99.71%
40-45 dB,INDUST_DEN,0.19%
45-50 dB,INDUST_DEN,0.07%
50-55 dB,INDUST_DEN,0.03%
55-60 dB,INDUST_DEN,0.00%
60-65 dB,INDUST_DEN,0.00%
65-70 dB,INDUST_DEN,0.00%
70-75 dB,INDUST_DEN,0.00%
75-80 dB,INDUST_DEN,0.00%
>=80 dB,INDUST_DEN,0.00%
<40 dB,VIANANTS_D,90.39%
40-45 dB,VIANANTS_D,3.36%
45-50 dB,VIANANTS_D,3.35%
50-55 dB,VIANANTS_D,2.01%
55-60 dB,VIANANTS_D,0.82%
60-65 dB,VIANANTS_D,0.07%
65-70 dB,VIANANTS_D,0.00%
70-75 dB,VIANANTS_D,0.00%
75-80 dB,VIANANTS_D,0.00%
>=80 dB,VIANANTS_D,0.00%
<40 dB,VIANANTS_E,91.45%
40-45 dB,VIANANTS_E,3.82%
45-50 dB,VIANANTS_E,2.49%
50-55 dB,VIANANTS_E,1.41%
55-60 dB,VIANANTS_E,0.75%
60-65 dB,VIANANTS_E,0.08%
65-70 dB,VIANANTS_E,0.00%
70-75 dB,VIANANTS_E,0.00%
75-80 dB,VIANANTS_E,0.00%
>=80 dB,VIANANTS_E,0.00%
<40 dB,OCI_N,95.08%
40-45 dB,OCI_N,1.17%
45-50 dB,OCI_N,0.68%
50-55 dB,OCI_N,0.71%
55-60 dB,OCI_N,1.23%
60-65 dB,OCI_N,1.06%
65-70 dB,OCI_N,0.07%
70-75 dB,OCI_N,0.00%
75-80 dB,OCI_N,0.00%
>=80 dB,OCI_N,0.00%
<40 dB,PATIS_D,93.01%
40-45 dB,PATIS_D,0.00%
45-50 dB,PATIS_D,0.00%
50-55 dB,PATIS_D,3.70%
55-60 dB,PATIS_D,2.12%
60-65 dB,PATIS_D,1.17%
65-70 dB,PATIS_D,0.00%
70-75 dB,PATIS_D,0.00%
75-80 dB,PATIS_D,0.00%
>=80 dB,PATIS_D,0.00%
<40 dB,PATIS_E,96.98%
40-45 dB,PATIS_E,0.00%
45-50 dB,PATIS_E,0.00%
50-55 dB,PATIS_E,0.00%
55-60 dB,PATIS_E,1.84%
60-65 dB,PATIS_E,1.18%
65-70 dB,PATIS_E,0.00%
70-75 dB,PATIS_E,0.00%
75-80 dB,PATIS_E,0.00%
>=80 dB,PATIS_E,0.00%
<40 dB,PARCS_D,99.84%
40-45 dB,PARCS_D,0.13%
45-50 dB,PARCS_D,0.03%
50-55 dB,PARCS_D,0.00%
55-60 dB,PARCS_D,0.00%
60-65 dB,PARCS_D,0.00%
65-70 dB,PARCS_D,0.00%
70-75 dB,PARCS_D,0.00%
75-80 dB,PARCS_D,0.00%
>=80 dB,PARCS_D,0.00%
