"Codi_Districte","Nom_Districte","Rang_soroll","TOTAL_D","TOTAL_E","TOTAL_N","TOTAL_DEN","TRANSIT_D","TRANSIT_E","TRANSIT_N","TRANSIT_DEN","GI_TR_D","GI_TR_E","GI_TR_N","GI_TR_DEN","FFCC_D","FFCC_E","FFCC_N","FFCC_DEN","INDUST_D","INDUST_E","INDUST_N","INDUST_DEN","VIANANTS_D","VIANANTS_E","OCI_N","PATIS_D","PATIS_E","PARCS_D"
"1","Ciutat Vella","<40 dB","5.60%","15.34%","40.15%","0.54%","11.32%","24.37%","45.03%","3.64%","73.33%","80.07%","91.74%","67.33%","99.39%","99.33%","99.81%","99.17%","100.00%","100.00%","100.00%","100.00%","53.27%","55.31%","78.88%","96.86%","98.33%","99.96%"
"1","Ciutat Vella","40-45 dB","21.83%","17.78%","9.38%","21.23%","29.39%","20.38%","9.04%","31.60%","16.11%","11.69%","3.22%","18.48%","0.41%","0.45%","0.13%","0.41%","0.00%","0.00%","0.00%","0.00%","12.63%","14.80%","4.51%","0.00%","0.00%","0.04%"
"1","Ciutat Vella","45-50 dB","12.66%","11.68%","13.04%","15.19%","9.42%","8.90%","14.97%","12.24%","4.61%","3.22%","1.52%","7.31%","0.14%","0.15%","0.00%","0.34%","0.00%","0.00%","0.00%","0.00%","13.05%","12.43%","2.43%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","50-55 dB","15.26%","16.54%","15.36%","11.76%","12.28%","14.81%","17.19%","10.42%","2.06%","1.50%","1.05%","2.47%","0.00%","0.01%","0.06%","0.02%","0.00%","0.00%","0.00%","0.00%","12.07%","10.01%","1.76%","1.17%","0.00%","0.00%"
"1","Ciutat Vella","55-60 dB","20.28%","20.13%","9.64%","17.71%","17.88%","17.22%","8.45%","16.91%","1.19%","1.05%","0.68%","1.36%","0.06%","0.06%","0.00%","0.01%","0.00%","0.00%","0.00%","0.00%","8.16%","6.48%","5.73%","1.13%","0.83%","0.00%"
"1","Ciutat Vella","60-65 dB","16.81%","12.81%","10.32%","16.81%","12.34%","8.73%","4.45%","15.03%","0.71%","0.67%","1.29%","0.87%","0.00%","0.00%","0.00%","0.05%","0.00%","0.00%","0.00%","0.00%","0.82%","0.97%","6.22%","0.84%","0.84%","0.00%"
"1","Ciutat Vella","65-70 dB","5.30%","4.79%","2.11%","11.71%","5.11%","4.68%","0.87%","6.45%","0.68%","1.28%","0.50%","0.63%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.47%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","70-75 dB","2.20%","0.93%","0.00%","4.67%","2.20%","0.91%","0.00%","3.34%","1.26%","0.52%","0.00%","1.25%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella","75-80 dB","0.06%","0.00%","0.00%","0.38%","0.06%","0.00%","0.00%","0.37%","0.05%","0.00%","0.00%","0.30%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"1","Ciutat Vella",">=80 dB","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"2","Eixample","<40 dB","0.12%","0.14%","22.10%","0.12%","0.15%","0.15%","22.89%","0.15%","29.36%","37.11%","63.88%","23.46%","99.96%","99.96%","100.00%","99.93%","100.00%","100.00%","100.00%","100.00%","94.65%","95.26%","93.64%","90.62%","94.73%","99.86%"
"2","Eixample","40-45 dB","4.44%","17.44%","22.41%","0.32%","6.11%","20.00%","21.66%","0.43%","25.21%","26.29%","11.32%","23.57%","0.04%","0.04%","0.00%","0.07%","0.00%","0.00%","0.00%","0.00%","1.87%","1.87%","1.38%","0.00%","0.00%","0.12%"
"2","Eixample","45-50 dB","30.09%","21.78%","1.35%","29.15%","36.77%","24.27%","1.38%","36.64%","19.45%","11.85%","5.09%","23.10%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.39%","1.09%","0.90%","0.00%","0.00%","0.02%"
