Any,Trimestre,Nom_Districte,Nom_Barri,Eur,Clau,Eur_m2,Date
2014,1,Ciutat Vella,el Raval,589.55,120141,10.76,2014-01-01
2014,1,Ciutat Vella,el Barri Gòtic,712.79,220141,10.58,2014-01-01
2014,1,Ciutat Vella,la Barceloneta,540.71,320141,14.4,2014-01-01
2014,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",673.44,420141,11.01,2014-01-01
2014,1,Eixample,el Fort Pienc,736.09,520141,10.42,2014-01-01
2014,1,Eixample,la Sagrada Família,673.37,620141,10.55,2014-01-01
2014,1,Eixample,la Dreta de l'Eixample,921.4,720141,9.84,2014-01-01
2014,1,Eixample,l'Antiga Esquerra de l'Eixample,827.87,820141,10.35,2014-01-01
2014,1,Eixample,la Nova Esquerra de l'Eixample,716.13,920141,10.32,2014-01-01
2014,1,Eixample,Sant Antoni,693.43,1020141,9.77,2014-01-01
2014,1,Sants-Montjuïc,el Poble Sec,568.0,1120141,10.18,2014-01-01
2014,1,Sants-Montjuïc,la Marina de Port,553.55,1320141,8.34,2014-01-01
2014,1,Sants-Montjuïc,la Font de la Guatlla,631.5,1420141,10.83,2014-01-01
2014,1,Sants-Montjuïc,Hostafrancs,580.71,1520141,10.4,2014-01-01
2014,1,Sants-Montjuïc,la Bordeta,604.74,1620141,9.46,2014-01-01
2014,1,Sants-Montjuïc,Sants - Badal,584.27,1720141,9.94,2014-01-01
2014,1,Sants-Montjuïc,Sants,605.28,1820141,9.89,2014-01-01
2014,1,Les Corts,les Corts,777.23,1920141,11.39,2014-01-01
2014,1,Les Corts,la Maternitat i Sant Ramon,700.16,2020141,10.02,2014-01-01
2014,1,Les Corts,Pedralbes,1230.0,2120141,11.19,2014-01-01
2014,1,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",837.33,2220141,7.9,2014-01-01
2014,1,Sarrià-Sant Gervasi,Sarrià,1042.16,2320141,12.62,2014-01-01
2014,1,Sarrià-Sant Gervasi,les Tres Torres,1215.85,2420141,13.27,2014-01-01
2014,1,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,927.63,2520141,11.46,2014-01-01
2014,1,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1053.7,2620141,12.08,2014-01-01
2014,1,Sarrià-Sant Gervasi,el Putxet i el Farró,750.84,2720141,11.06,2014-01-01
2014,1,Gràcia,Vallcarca i els Penitents,679.66,2820141,10.18,2014-01-01
2014,1,Gràcia,el Coll,583.93,2920141,9.77,2014-01-01
2014,1,Gràcia,la Salut,634.48,3020141,10.2,2014-01-01
2014,1,Gràcia,la Vila de Gràcia,679.8,3120141,11.59,2014-01-01
2014,1,Gràcia,el Camp d'en Grassot i Gràcia Nova,671.0,3220141,10.29,2014-01-01
2014,1,Horta-Guinardó,el Baix Guinardó,622.63,3320141,9.63,2014-01-01
2014,1,Horta-Guinardó,Can Baró,568.94,3420141,9.97,2014-01-01
2014,1,Horta-Guinardó,el Guinardó,586.5,3520141,9.35,2014-01-01
2014,1,Horta-Guinardó,la Font d'en Fargues,585.45,3620141,9.26,2014-01-01
2014,1,Horta-Guinardó,el Carmel,478.7,3720141,8.41,2014-01-01
2014,1,Horta-Guinardó,la Teixonera,492.79,3820141,8.52,2014-01-01
2014,1,Horta-Guinardó,Sant Genís dels Agudells,557.0,3920141,7.72,2014-01-01
2014,1,Horta-Guinardó,Montbau,537.94,4020141,9.48,2014-01-01
2014,1,Horta-Guinardó,la Vall d'Hebron,737.73,4120141,10.59,2014-01-01
2014,1,Horta-Guinardó,Horta,556.3,4320141,8.85,2014-01-01
2014,1,Nou Barris,Vilapicina i la Torre Llobeta,555.89,4420141,8.85,2014-01-01
2014,1,Nou Barris,Porta,523.29,4520141,8.58,2014-01-01
2014,1,Nou Barris,el Turó de la Peira,475.06,4620141,7.59,2014-01-01
2014,1,Nou Barris,la Guineueta,613.58,4820141,8.11,2014-01-01
2014,1,Nou Barris,Canyelles,563.33,4920141,7.35,2014-01-01
2014,1,Nou Barris,les Roquetes,461.28,5020141,8.53,2014-01-01
2014,1,Nou Barris,Verdun,503.47,5120141,9.03,2014-01-01
2014,1,Nou Barris,la Prosperitat,521.81,5220141,9.03,2014-01-01
2014,1,Nou Barris,la Trinitat Nova,442.94,5320141,8.96,2014-01-01
2014,1,Nou Barris,Ciutat Meridiana,359.27,5520141,6.23,2014-01-01
2014,1,Sant Andreu,la Trinitat Vella,461.1,5720141,8.28,2014-01-01
2014,1,Sant Andreu,el Bon Pastor,488.14,5920141,8.09,2014-01-01
2014,1,Sant Andreu,Sant Andreu,581.16,6020141,9.39,2014-01-01
2014,1,Sant Andreu,la Sagrera,626.26,6120141,9.28,2014-01-01
2014,1,Sant Andreu,el Congrés i els Indians,563.42,6220141,9.21,2014-01-01
2014,1,Sant Andreu,Navas,613.47,6320141,9.2,2014-01-01
2014,1,Sant Martí,el Camp de l'Arpa del Clot,580.09,6420141,9.96,2014-01-01
2014,1,Sant Martí,el Clot,604.85,6520141,9.82,2014-01-01
2014,1,Sant Martí,el Parc i la Llacuna del Poblenou,704.67,6620141,11.04,2014-01-01
2014,1,Sant Martí,la Vila Olímpica del Poblenou,926.43,6720141,12.37,2014-01-01
2014,1,Sant Martí,el Poblenou,663.93,6820141,11.38,2014-01-01
2014,1,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,866.7,6920141,10.82,2014-01-01
2014,1,Sant Martí,el Besòs i el Maresme,516.9,7020141,8.51,2014-01-01
2014,1,Sant Martí,Provençals del Poblenou,635.7,7120141,9.54,2014-01-01
2014,1,Sant Martí,Sant Martí de Provençals,643.66,7220141,8.73,2014-01-01
2014,1,Sant Martí,la Verneda i la Pau,568.68,7320141,8.34,2014-01-01
2014,2,Ciutat Vella,el Raval,550.63,120142,10.52,2014-04-01
2014,2,Ciutat Vella,el Barri Gòtic,728.79,220142,10.18,2014-04-01
2014,2,Ciutat Vella,la Barceloneta,541.93,320142,14.53,2014-04-01
2014,2,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",676.98,420142,11.23,2014-04-01
2014,2,Eixample,el Fort Pienc,706.16,520142,10.06,2014-04-01
2014,2,Eixample,la Sagrada Família,663.23,620142,10.59,2014-04-01
2014,2,Eixample,la Dreta de l'Eixample,948.96,720142,10.63,2014-04-01
2014,2,Eixample,l'Antiga Esquerra de l'Eixample,821.81,820142,10.98,2014-04-01
2014,2,Eixample,la Nova Esquerra de l'Eixample,708.0,920142,10.63,2014-04-01
2014,2,Eixample,Sant Antoni,718.01,1020142,10.4,2014-04-01
2014,2,Sants-Montjuïc,el Poble Sec,578.65,1120142,10.3,2014-04-01
2014,2,Sants-Montjuïc,la Marina de Port,454.44,1320142,7.27,2014-04-01
2014,2,Sants-Montjuïc,la Font de la Guatlla,624.88,1420142,10.55,2014-04-01
2014,2,Sants-Montjuïc,Hostafrancs,584.91,1520142,10.08,2014-04-01
2014,2,Sants-Montjuïc,la Bordeta,616.4,1620142,9.6,2014-04-01
2014,2,Sants-Montjuïc,Sants - Badal,569.68,1720142,10.1,2014-04-01
2014,2,Sants-Montjuïc,Sants,618.8,1820142,10.62,2014-04-01
2014,2,Les Corts,les Corts,765.29,1920142,11.0,2014-04-01
2014,2,Les Corts,la Maternitat i Sant Ramon,748.64,2020142,10.44,2014-04-01
2014,2,Les Corts,Pedralbes,1459.12,2120142,12.52,2014-04-01
2014,2,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",1051.22,2220142,6.25,2014-04-01
2014,2,Sarrià-Sant Gervasi,Sarrià,1030.35,2320142,13.29,2014-04-01
2014,2,Sarrià-Sant Gervasi,les Tres Torres,1327.22,2420142,14.4,2014-04-01
2014,2,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,920.62,2520142,11.76,2014-04-01
2014,2,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1006.56,2620142,11.56,2014-04-01
2014,2,Sarrià-Sant Gervasi,el Putxet i el Farró,761.35,2720142,11.32,2014-04-01
2014,2,Gràcia,Vallcarca i els Penitents,648.32,2820142,10.17,2014-04-01
2014,2,Gràcia,el Coll,551.4,2920142,9.81,2014-04-01
2014,2,Gràcia,la Salut,702.33,3020142,9.82,2014-04-01
2014,2,Gràcia,la Vila de Gràcia,673.79,3120142,11.2,2014-04-01
2014,2,Gràcia,el Camp d'en Grassot i Gràcia Nova,665.44,3220142,10.72,2014-04-01
2014,2,Horta-Guinardó,el Baix Guinardó,610.87,3320142,9.7,2014-04-01
2014,2,Horta-Guinardó,Can Baró,525.04,3420142,8.95,2014-04-01
2014,2,Horta-Guinardó,el Guinardó,564.1,3520142,9.12,2014-04-01
2014,2,Horta-Guinardó,la Font d'en Fargues,772.41,3620142,9.31,2014-04-01
2014,2,Horta-Guinardó,el Carmel,495.01,3720142,9.0,2014-04-01
2014,2,Horta-Guinardó,la Teixonera,476.94,3820142,8.42,2014-04-01
2014,2,Horta-Guinardó,Sant Genís dels Agudells,568.75,3920142,7.92,2014-04-01
2014,2,Horta-Guinardó,Montbau,535.88,4020142,9.02,2014-04-01
2014,2,Horta-Guinardó,la Vall d'Hebron,675.63,4120142,9.78,2014-04-01
2014,2,Horta-Guinardó,Horta,566.67,4320142,8.67,2014-04-01
2014,2,Nou Barris,Vilapicina i la Torre Llobeta,573.24,4420142,9.19,2014-04-01
2014,2,Nou Barris,Porta,517.06,4520142,8.94,2014-04-01
2014,2,Nou Barris,el Turó de la Peira,461.25,4620142,7.96,2014-04-01
2014,2,Nou Barris,la Guineueta,613.14,4820142,8.15,2014-04-01
2014,2,Nou Barris,Canyelles,474.29,4920142,5.58,2014-04-01
2014,2,Nou Barris,les Roquetes,448.6,5020142,8.66,2014-04-01
2014,2,Nou Barris,Verdun,465.56,5120142,9.33,2014-04-01
2014,2,Nou Barris,la Prosperitat,501.4,5220142,9.08,2014-04-01
2014,2,Nou Barris,la Trinitat Nova,449.31,5320142,8.7,2014-04-01
2014,2,Nou Barris,Ciutat Meridiana,406.17,5520142,6.85,2014-04-01
2014,2,Sant Andreu,la Trinitat Vella,407.26,5720142,6.23,2014-04-01
2014,2,Sant Andreu,el Bon Pastor,476.31,5920142,7.86,2014-04-01
2014,2,Sant Andreu,Sant Andreu,573.12,6020142,9.33,2014-04-01
2014,2,Sant Andreu,la Sagrera,622.71,6120142,9.76,2014-04-01
2014,2,Sant Andreu,el Congrés i els Indians,556.26,6220142,9.34,2014-04-01
2014,2,Sant Andreu,Navas,590.17,6320142,8.66,2014-04-01
2014,2,Sant Martí,el Camp de l'Arpa del Clot,592.63,6420142,9.61,2014-04-01
2014,2,Sant Martí,el Clot,641.11,6520142,10.11,2014-04-01
2014,2,Sant Martí,el Parc i la Llacuna del Poblenou,678.23,6620142,10.31,2014-04-01
2014,2,Sant Martí,la Vila Olímpica del Poblenou,988.89,6720142,14.44,2014-04-01
2014,2,Sant Martí,el Poblenou,644.01,6820142,10.36,2014-04-01
2014,2,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,817.93,6920142,10.7,2014-04-01
2014,2,Sant Martí,el Besòs i el Maresme,480.69,7020142,7.8,2014-04-01
2014,2,Sant Martí,Provençals del Poblenou,643.46,7120142,10.01,2014-04-01
2014,2,Sant Martí,Sant Martí de Provençals,641.75,7220142,9.41,2014-04-01
2014,2,Sant Martí,la Verneda i la Pau,569.14,7320142,8.26,2014-04-01
